,decam_g,decam_r,pmra_unc_present,pmdec_unc_present,pmra_unc_10yr,pmdec_unc_10yr,vr_unc
108,20.49959067804506,20.323626220833976,0.9661057501450314,0.8347904054651242,144.9158625217547,125.21856081976864,4.14180429374796
244,20.502502681573723,20.326770643141952,0.9685133459936166,0.8368707552760376,145.2770018990425,125.53061329140564,4.149472668500379
235,20.50993407413596,20.33479516520108,0.9746866815454353,0.8422049966751819,146.20300223181528,126.33074950127728,4.16916430176285
4,20.5106141920114,20.335529566034914,0.9752537643203394,0.8426950002379632,146.28806464805092,126.40425003569447,4.170975269095024
10,20.51217579332004,20.337215805059945,0.976557166257219,0.8438212407465291,146.48357493858285,126.57318611197935,4.175138988616783
362,20.51220978420224,20.33725250889193,0.9765855577337668,0.8438457731874295,146.487833660065,126.5768659781144,4.175229705877584
50,20.51232868100089,20.33738089532497,0.9766848753107416,0.8439315912879224,146.50273129661124,126.58973869318837,4.175547055172477
500,20.51694677999128,20.34234900353037,0.980550874678983,0.8472721150138787,147.08263120184745,127.0908172520818,4.187880332114666
176,20.52606837250841,20.352123396335763,0.9882351567853228,0.8539119315912012,148.23527351779842,128.08678973868018,4.212383382548067
292,20.532315000971817,20.358792959910303,0.9935346571143274,0.8584911114871372,149.0301985671491,128.7736667230706,4.229281158624283
293,20.53577141773944,20.362456726638914,0.9964800641947702,0.8610361719741217,149.4720096292155,129.1554257961183,4.238644108679966
84,20.536370189386343,20.36309141851361,0.9969912597441628,0.8614778846333057,149.5486889616244,129.22168269499585,4.240270005545427
145,20.53670397307389,20.36344522583813,0.9972763461296316,0.8617242214129828,149.59145191944475,129.2586332119474,4.241176859349381
107,20.53872926729549,20.36559201717831,0.9990080311804492,0.863220531796699,149.8512046770674,129.48307976950483,4.246687074357831
36,20.53902432915348,20.365904779756107,0.9992605858773572,0.8634387586707263,149.8890878816036,129.51581380060895,4.247490954952863
81,20.544433948583173,20.37163892150274,1.003903007190179,0.8674501712614171,150.58545107852692,130.11752568921256,4.262279192273407
417,20.545382337933827,20.37264420459859,1.0047192683002293,0.8681554842594214,150.70789024503438,130.2233226389132,4.264881594584931
428,20.54672520960439,20.374067634953832,1.0058762669609416,0.8691552209662504,150.8814400441412,130.37328314493757,4.268571479663986
110,20.54749431490187,20.374882878771103,1.006539558341499,0.8697283562368295,150.9809337512249,130.45925343552443,4.270687444351493
359,20.54817925190529,20.37560797082463,1.0071306549875396,0.8702391096494274,151.06959824813094,130.5358664474141,4.272572005196957
52,20.55115337102337,20.37874620335457,1.009701609647594,0.8724606141615132,151.4552414471391,130.869092124227,4.280756741626724
171,20.551827329689377,20.379457351403964,1.0102851825047805,0.8729648664361694,151.5427773757171,130.9447299654254,4.282615474277838
276,20.55300082818523,20.38069560414614,1.0113021615005682,0.87384361527719,151.69532422508522,131.0765422915785,4.285855444316234
232,20.55467768551777,20.382464991322685,1.0127572612169973,0.8751009344496384,151.9135891825496,131.26514016744576,4.290492978043799
125,20.555018891689222,20.38282502542494,1.0130536181172394,0.8753570098294592,151.9580427175859,131.30355147441887,4.291437748612712
488,20.561907421930968,20.390093668283484,1.0190565594905543,0.880544017423877,152.85848392358312,132.08160261358154,4.3105933114169686
285,20.57239604124897,20.401129419001983,1.028269852012486,0.8885050177583615,154.24047780187288,133.27575266375422,4.340010338936208
14,20.574728270089327,20.40357175196376,1.0303305654213393,0.8902856341990213,154.54958481320088,133.5428451298532,4.346582397950186
170,20.577986407957912,20.406983705959338,1.0332167796542218,0.892779547468211,154.98251694813325,133.91693212023162,4.355793870951345
280,20.581887763060315,20.411069243363443,1.036684144755449,0.8957756202255819,155.5026217133173,134.36634303383727,4.366870444156423
162,20.585820423597653,20.41518756412667,1.0401919038937777,0.8988065965684096,156.0287855840666,134.82098948526144,4.378087498713368
229,20.587372293444187,20.416807589405373,1.041579586093125,0.9000056617697877,156.23693791396877,135.00084926546816,4.382519777002484
361,20.58843674151163,20.417915427171067,1.0425325576324649,0.9008291031969844,156.37988364486972,135.12436547954763,4.385559081345677
416,20.58866391926942,20.41815186529079,1.042736064153958,0.901004948637886,156.4104096230937,135.1507422956829,4.386208230303377
143,20.588975177291868,20.41847581100753,1.0430149588453508,0.9012459353129728,156.4522438268026,135.18689029694593,4.387097915169143
158,20.59061118575841,20.420178507475,1.0444821708404726,0.9025137204349712,156.67232562607086,135.37705806524568,4.391779544756791
112,20.59336981492857,20.42304958561373,1.046961164705651,0.9046557636776984,157.0441747058476,135.69836455165472,4.399694050692876
433,20.59444613332184,20.424169777570903,1.0479300807110516,0.9054929823619768,157.18951210665776,135.8239473542965,4.402788956257296
472,20.5981620674324,20.428037182913087,1.0512825705618252,0.9083897939806064,157.69238558427378,136.25846909709094,4.413504023557009
183,20.598395974943063,20.428280625108087,1.051493982573469,0.9085724703790168,157.72409738602036,136.28587055685253,4.414180069438647
356,20.600884077210303,20.430870148956988,1.0537456054335264,0.9105180474134354,158.06184081502894,136.5777071120153,4.421382734851735
99,20.601100244647103,20.43109512794612,1.0539414700164056,0.9106872896258262,158.09122050246086,136.60309344387392,4.422009498004587
260,20.605516290275137,20.4356911831896,1.057951259655392,0.9141520593138824,158.6926889483088,137.12280889708234,4.434848349806966
330,20.606097708242974,20.436296301280485,1.0584804001737849,0.9146092778200664,158.77206002606772,137.19139167300995,4.436543672878688
305,20.60694407231132,20.437177165370635,1.0592511687840789,0.9152752817648834,158.88767531761178,137.2912922647325,4.4390136026464
449,20.60727912422049,20.4375258748754,1.0595564598350309,0.9155390769448324,158.93346897525458,137.33086154172486,4.439992055987002
389,20.608855652925087,20.439161808227297,1.0609942133433643,0.916781407646208,159.14913200150465,137.5172111469312,4.444592967328637
377,20.61035687358943,20.440712336170947,1.0623652206836496,0.9179660644742216,159.35478310254743,137.69490967113322,4.448969733928377
300,20.6132004327533,20.443649291441897,1.0649673120647594,0.9202144735316852,159.7450968097139,138.0321710297528,4.457281087811273
217,20.613525366602765,20.44398489767581,1.0652650854564354,0.9204717728701236,159.7897628184653,138.07076593051855,4.458232583425154
78,20.615918427140056,20.44645655778684,1.067460850180742,0.9223690841367574,160.11912752711126,138.3553626205136,4.465251240837857
74,20.62040463101308,20.45109011008948,1.071590192620648,0.925937156730463,160.73852889309725,138.89057350956944,4.47846182162547
270,20.622576370595453,20.45333318000504,1.073595287515319,0.9276697144549844,161.03929312729784,139.15045716824764,4.48488183997305
427,20.624375501340914,20.455191402824223,1.0752593915037596,0.9291076295517924,161.28890872556394,139.36614443276883,4.490212692602694
410,20.62589938199737,20.4567653350227,1.0766710520520846,0.9303274139090828,161.5006578078127,139.54911208636244,4.494736730787536
122,20.62631098604337,20.457190458117665,1.0770526836054444,0.9306571732124712,161.55790254081666,139.59857598187068,4.495960064458099
236,20.62647236095264,20.45735713335213,1.07720234670263,0.930786493752758,161.58035200539447,139.61797406291367,4.496439849131153
324,20.627109934012733,20.45801564736628,1.077793864412255,0.9312976109969971,161.66907966183825,139.69464164954957,4.498336304402595
243,20.6298419252943,20.4608192218457,1.0803324282853488,0.9334911273533596,162.04986424280233,140.02366910300395,4.50644721354479
458,20.6307724342008,20.46177387678305,1.081198509137881,0.9342394884783632,162.17977637068216,140.13592327175448,4.509215241475942
21,20.63742869987662,20.46860286772271,1.0874154939256604,0.9396114462076096,163.11232408884908,140.9417169311414,4.529103394866256
191,20.63858747320317,20.46979171037616,1.0885016770949056,0.9405499928295786,163.27525156423584,141.08249892443678,4.53258140993528
83,20.641023002190423,20.472290439573168,1.0907884005287298,0.94252589948599,163.6182600793095,141.37888492289846,4.539906828306193
253,20.643415102073643,20.474744612712414,1.093039325028934,0.9444708730832538,163.95589875434013,141.67063096248808,4.547121811258872
24,20.64553971866874,20.47692436156632,1.0950426968351614,0.946201941925528,164.2564045252742,141.93029128882918,4.553546838396604
498,20.65052976114908,20.482026704497727,1.099763351984037,0.9502809546269836,164.96450279760558,142.54214319404755,4.568669197856016
347,20.65080132751513,20.482303683951347,1.100020878168428,0.9505034772523312,165.00313172526418,142.57552158784966,4.569493455510464
331,20.65146185473827,20.48297737735465,1.1006475234185042,0.9510449474198728,165.09712851277564,142.6567421129809,4.571499367141034
264,20.65331467936778,20.48486713403181,1.1024073338669955,0.952565560331676,165.36110008004934,142.8848340497514,4.5771342718184185
483,20.65398876985625,20.485554661054778,1.1030483263491295,0.9531194276220636,165.45724895236944,142.9679141433095,4.579187347139764
228,20.656354116303653,20.487967155562657,1.105300671018162,0.9550656283554992,165.7951006527243,143.25984425332487,4.586404147970958
309,20.65814129522125,20.48978995802276,1.107005712823215,0.9565389169054964,166.05085692348223,143.48083753582446,4.591870033283255
448,20.661968469142565,20.49369341837041,1.1106664070243528,0.9597020410210428,166.59996105365292,143.9553061531564,4.603613070848566
438,20.662163966555468,20.49389281260099,1.1108537455755196,0.959863916079818,166.62806183632796,143.97958741197272,4.604214317613556
130,20.66245291116812,20.49418751669893,1.1111306929307283,0.9601032201051928,166.6696039396093,144.01548301577893,4.605103207466168
297,20.663458602381954,20.495213254189807,1.112095199344742,0.9609366285600198,166.8142799017113,144.14049428400295,4.608199364704821
225,20.663667785925607,20.495426607354524,1.1122959282476332,0.961110073922712,166.84438923714495,144.16651108840682,4.608843817039396
221,20.665281859817988,20.497072854315498,1.1138460612272316,0.9624495092157632,167.0769091840847,144.36742638236447,4.613821696998484
63,20.67034549614752,20.502213106003182,1.1187240221393069,0.9666644463145468,167.80860332089603,144.99966694718202,4.629454564763457
470,20.67070132743296,20.502573974949467,1.1190676583286905,0.9669613746723632,167.86014874930353,145.0442062008545,4.630555923421806
441,20.68180828133588,20.51383817490983,1.129850534888581,0.9762786175250846,169.47758023328714,146.4417926287627,4.665161755733857
168,20.6846451093503,20.51671516515278,1.1326222472974752,0.9786735923250028,169.89333709462127,146.8010388487504,4.674071623741474
494,20.685846806342663,20.517933875100805,1.133798537374224,0.9796899983136498,170.0697806061336,146.95349974704746,4.677854679778182
334,20.68682992469452,20.518930911893865,1.1347618348789492,0.980522362176956,170.21427523184238,147.0783543265434,4.68095352440997
320,20.68705104339984,20.519155161074465,1.1349786152559136,0.9807096772599642,170.24679228838704,147.10645158899462,4.681650986353459
391,20.68900907142736,20.52112924917875,1.1369001467312674,0.9823700296998328,170.5350220096901,147.35550445497492,4.687813262264648
386,20.6925319590255,20.524679503719245,1.1403660724827422,0.985364858747224,171.05491087241134,147.8047288120836,4.698932516835066
44,20.69344069485139,20.52559529890205,1.1412619335962213,0.9861389523307156,171.1892900394332,147.9208428496073,4.701808046416711
404,20.69744965952584,20.529635406524463,1.14522302699245,0.9895616446827964,171.78345404886747,148.43424670241944,4.714529516460218
188,20.69840068289153,20.53059381775052,1.1461648338125985,0.9903754389254492,171.92472507188975,148.55631583881737,4.717555948105891
354,20.69873842513568,20.530934183686803,1.1464995006962335,0.9906646171064544,171.97492510443502,148.59969256596813,4.718631536027544
319,20.70533982141292,20.53758686176805,1.15306165029309,0.9963348240396602,172.9592475439635,149.45022360594902,4.739738457311525
105,20.705418133114545,20.537665781820586,1.153139735176666,0.9964022954439156,172.9709602764999,149.4603443165873,4.739989806521901
119,20.70843981726922,20.54070706341649,1.1561569558010625,0.9990094084106264,173.4235433701593,149.85141126159397,4.749698122450076
177,20.708469148303635,20.54073649830241,1.1561862845165694,0.9990347506987832,173.42794267748542,149.8552126048175,4.749792360968416
115,20.70866560102977,20.540933646602795,1.1563827420572648,0.999204505272782,173.4574113085897,149.8806757909173,4.750423631021381
22,20.70967140470404,20.54194301149581,1.1573891252691282,1.0000740985335186,173.60836879036924,150.01111478002778,4.753657845785003
56,20.709914857117152,20.542187325893547,1.157632857579959,1.0002847021807415,173.64492863699385,150.0427053271112,4.754441239079282
310,20.71335891611273,20.545643579165,1.1610867149709398,1.0032691032273169,174.16300724564096,150.49036548409754,4.765547096052779
487,20.717016486200887,20.54931409950131,1.1647666596687805,1.006448861267199,174.71499895031707,150.9673291900798,4.777389423820445
268,20.725008766224107,20.55733467754949,1.1728509344192484,1.0134343025564378,175.92764016288726,152.0151453834657,4.803439426741813
422,20.725988639273563,20.55831802000592,1.173846172018018,1.0142942651417826,176.0769258027027,152.14413977126736,4.806649625965015
283,20.726306291424763,20.558636796858515,1.174168997095695,1.014573211082688,176.12534956435425,152.18598166240318,4.807691069963502
507,20.72675414865487,20.55908623980321,1.174624307498264,1.014966634634422,176.19364612473956,152.24499519516328,4.809160042455987
321,20.729307372213164,20.5616433527369,1.1772235982065111,1.0172126236930048,176.5835397309767,152.58189355395072,4.817539016033575
434,20.731700029212043,20.564030546070207,1.179664958443278,1.019322148557784,176.9497437664917,152.89832228366757,4.825395551841094
54,20.73194290659822,20.56427286884249,1.1799130794469077,1.019536544376454,176.9869619170361,152.9304816564681,4.826194262038898
366,20.733675258409345,20.566001264804125,1.1816844366308987,1.021067134564563,177.2526654946348,153.16007018468446,4.831897567895046
64,20.7343963510442,20.566720710813907,1.1824225956157897,1.0217049612602456,177.36338934236846,153.25574418903682,4.834274890580952
332,20.73769225373972,20.570009087269728,1.18580272847638,1.0246256585863869,177.870409271457,153.693848787958,4.845165815394403
134,20.741970329446453,20.574277393931016,1.1902054082731282,1.0284299158864891,178.5308112409692,154.2644873829734,4.859363294937404
365,20.74347594089181,20.57577956729167,1.1917589886697173,1.029772330015581,178.7638483004576,154.46584950233714,4.864376377575988
388,20.74583661764809,20.578134853409708,1.1941992019904604,1.0318808638558346,179.12988029856905,154.7821295783752,4.872253799351424
126,20.74966218845226,20.581951688469672,1.1981649063944773,1.0353075404767813,179.72473595917157,155.29613107151718,4.88506449806034
101,20.74975595561589,20.58204524151468,1.1982622832259489,1.0353916816224216,179.7393424838923,155.30875224336324,4.885379197170819
222,20.74998787601872,20.58227663232405,1.1985031676484144,1.0355998244729017,179.77547514726214,155.33997367093525,4.8861577071265545
333,20.752797939332805,20.585069581168334,1.2014259209132834,1.0381253103037107,180.2138881369925,155.7187965455566,4.895585579833286
326,20.758372794437715,20.590602485226388,1.2072466965958726,1.04315491259255,181.0870044893809,156.4732368888825,4.914362677058056
481,20.75917778853889,20.59140142170909,1.2080896641518286,1.0438833020341045,181.21344962277428,156.58249530511566,4.917083862073165
181,20.760905566873745,20.59311619843072,1.2099010499104874,1.0454484800197414,181.48515748657312,156.81727200296123,4.922932801981092
256,20.762009001900708,20.59421133005721,1.211059384082004,1.046449370711635,181.6589076123006,156.9674056067452,4.9266741924310615
505,20.76207409461714,20.594275932947884,1.211127751998584,1.0465084459016891,181.66916279978764,156.9762668852534,4.926895046990929
468,20.76209306625557,20.594294761823843,1.2111476789811704,1.0465256643623704,181.6721518471756,156.97884965435557,4.92695941936304
392,20.76553644669813,20.597712230666627,1.2147702080562055,1.0496558108446827,182.2155312084309,157.4483716267024,4.938666065071675
289,20.76603668477856,20.59820870443197,1.215297424984802,1.0501113672198774,182.29461374772023,157.5167050829816,4.940370556884797
463,20.767156489854667,20.59932008292221,1.216478501129883,1.051131908743297,182.47177516948247,157.66978631149456,4.944189643257963
48,20.767689927637704,20.599849506560847,1.2170415533761043,1.0516184296162456,182.5562330064156,157.74276444243682,4.946010634337939
368,20.76801645668729,20.60017357846398,1.2173863461259653,1.0519163573321446,182.6079519188948,157.78745359982167,4.947125846712117
477,20.768183061077888,20.600338929148705,1.217562308988354,1.052068402912267,182.6343463482531,157.81026043684008,4.94769501880569
34,20.76837599302564,20.60053040927447,1.217766111896217,1.0522445044540127,182.66491678443256,157.8366756681019,4.948354268318187
242,20.76865469877805,20.600807017752988,1.2180605853519806,1.0524989523915171,182.7090878027971,157.87484285872756,4.949306862031399
337,20.77509469952673,20.607190585065176,1.2248859483612309,1.0583965961567916,183.7328922541846,158.75948942351874,4.971386028322396
184,20.783402201272185,20.615390844645795,1.2337503585807723,1.0660561350843567,185.0625537871159,159.90842026265352,5.000035763840071
163,20.78392094656548,20.615902893417086,1.23430612414282,1.066536359696223,185.145918621423,159.98045395443344,5.001833673203298
27,20.79156256308147,20.623445863730748,1.2425238194284076,1.0736370866905658,186.3785729142612,161.04556300358487,5.02844101773464
317,20.79493824936662,20.626777973027764,1.2461723842685648,1.0767897300961389,186.92585764028476,161.51845951442078,5.040268135666373
403,20.79641918266974,20.62823978885149,1.2477766022069812,1.0781758989943817,187.1664903310472,161.72638484915726,5.045471004725096
259,20.798509762213182,20.63029657400638,1.250044933480276,1.0801359133955784,187.5067400220414,162.02038700933676,5.052816265841611
155,20.799222332116315,20.63099714766369,1.2508190849360104,1.080804840381601,187.62286274040156,162.12072605724015,5.0553228387118265
373,20.799450414028414,20.631221389774712,1.2510669850882072,1.0810190453674802,187.6600477632311,162.152856805122,5.056125576579556
164,20.800292082356528,20.6320488884612,1.251982236003767,1.0818098932459734,187.79733540056503,162.27148398689602,5.059089626610602
342,20.80583464135351,20.63749813745465,1.2580270442093575,1.08703307703527,188.7040566314036,163.0549615552905,5.0786788313198885
30,20.80589352376614,20.63755602857099,1.2580914276035144,1.0870887092884736,188.71371414052717,163.06330639327103,5.078887597953584
346,20.80695752530082,20.63860211744349,1.2592554313315183,1.0880944989175256,188.88831469972777,163.21417483762886,5.082662383899
474,20.80995984123915,20.64155388883895,1.2625460623481033,1.0909378596988466,189.3819093522155,163.64067895482697,5.0933381944433584
98,20.810661956084623,20.642244183451435,1.26331691123413,1.0916039330081315,189.49753668511948,163.74058995121973,5.095840026231439
360,20.811678480274704,20.643243594269183,1.264433829542557,1.0925690371775492,189.66507443138357,163.88535557663238,5.099465692617827
210,20.814634582584333,20.64614993005091,1.2676878117459616,1.0953807305377727,190.15317176189424,164.3071095806659,5.110032916379122
399,20.81800619884305,20.649459688982056,1.2714099737918938,1.0985969676454228,190.71149606878407,164.78954514681342,5.122117573320359
189,20.81833781914036,20.6497842610869,1.2717766952238083,1.0989138434458148,190.76650428357124,164.8370765168722,5.123306588673636
478,20.81869438672169,20.65013325025111,1.272171129121061,1.0992546649686836,190.8256693681591,164.88819974530253,5.124585545749932
281,20.81873842085829,20.65017634849485,1.2722198484971154,1.099296762293624,190.8329772745673,164.8945143440436,5.124743525436541
67,20.81962905845228,20.651048056652893,1.273205672961783,1.1001485911999878,190.9808509442675,165.02228867999816,5.127940510722267
0,20.82267348390904,20.654027776490825,1.276581564561147,1.1030656237470102,191.487234684172,165.45984356205153,5.138892785018448
53,20.823133836712604,20.6544783450466,1.2770928606626517,1.103507423291029,191.5639290993977,165.52611349365435,5.140552157135157
271,20.827110608556453,20.65837059536521,1.2815187154128411,1.1073317055509015,192.22780731192617,166.09975583263522,5.154922443139126
97,20.83003039148313,20.661228321800845,1.284778521778008,1.1101484314392496,192.7167782667012,166.52226471588745,5.165514145543927
273,20.830308655782368,20.661500671925484,1.285089647672489,1.110417268377199,192.76344715087328,166.5625902565798,5.166525379806541
132,20.833497155120742,20.664621403527143,1.2886603717246694,1.1135026512960735,193.2990557587004,167.02539769441103,5.178135201064488
153,20.836465122895227,20.66752629069932,1.2919935342465374,1.116382762601377,193.7990301369806,167.45741439020654,5.1889794200652855
453,20.83964697484484,20.67064051619449,1.2955770008729364,1.1194791560940909,194.33655013094045,167.9218734141136,5.200645292900108
407,20.84031052560756,20.671289445130306,1.2963256254041082,1.1201260258346175,194.44884381061624,168.01890387519265,5.203082233090824
485,20.84043780414392,20.67141347059336,1.2964692744465025,1.1202501497644537,194.47039116697536,168.037522464668,5.203548895474901
178,20.84412616913361,20.67500756578688,1.3006393352989587,1.1238534062291974,195.0959002948438,168.5780109343796,5.217101063605162
17,20.84591307717026,20.676748802785863,1.3026646950278251,1.1256034743444314,195.3997042541737,168.8405211516647,5.223686838937401
490,20.84725237768244,20.67805387252461,1.304184896935981,1.1269170468670129,195.62773454039717,169.0375570300519,5.228631563098003
447,20.84846071910146,20.679231330313737,1.3055580559700608,1.1281035629255864,195.83370839550912,169.21553443883795,5.233099144564867
103,20.849969627104624,20.680701672597326,1.3072749192549369,1.129587066152324,196.0912378882405,169.4380599228486,5.238686490400897
70,20.852756750979168,20.683417561222573,1.3104524214094089,1.1323326748100715,196.5678632114113,169.84990122151072,5.249031776862439
146,20.85535536224663,20.68594975537698,1.3134223411295407,1.1348989161216418,197.0133511694311,170.23483741824626,5.258706430224
484,20.8603664392434,20.69083275578469,1.319169484372035,1.1398648942632146,197.87542265580524,170.9797341394822,5.27744227537208
152,20.86427903054299,20.69464198373572,1.3236752083157557,1.1437581897097306,198.55128124736336,171.5637284564596,5.292136571366697
262,20.864554044241416,20.694908703425,1.323992522271343,1.144032373613102,198.59887834070145,171.6048560419653,5.29316952173601
465,20.865352823190857,20.69568339237476,1.32491461707777,1.1448291351448692,198.73719256166552,171.72437027173038,5.296171528587882
135,20.865921175035474,20.69623460356265,1.3255711232819976,1.145396407496095,198.83566849229965,171.80946112441424,5.298309162158762
13,20.86667074183092,20.69696156452468,1.3264374759025668,1.1461450034497906,198.96562138538505,171.9217505174686,5.301130436627348
511,20.86729929428457,20.697571160759697,1.327164419424951,1.1467731391147633,199.07466291374263,172.0159708672145,5.30349804622091
372,20.86930971705173,20.69952095212956,1.329492364894977,1.148784664812165,199.42385473424656,172.3176997218247,5.311081984164807
257,20.87128383576885,20.7014355343262,1.331782458282322,1.150763483370162,199.7673687423483,172.61452250552426,5.318545526352789
240,20.87328746436234,20.703378736424696,1.334111033772078,1.152775553453543,200.11665506581173,172.91633301803145,5.326137445708502
284,20.8763323669339,20.70633180920774,1.3376579692127983,1.1558403811644569,200.64869538191977,173.37605717466852,5.337707344265413
357,20.87883559195805,20.708759540642465,1.3405813545623402,1.1583664131655174,201.08720318435104,173.75496197482758,5.3472484434408845
86,20.88002155806018,20.709909739749165,1.3419687301121308,1.159565213397861,201.2953095168196,173.93478200967908,5.351778078929721
65,20.88357045183556,20.713351604101693,1.3461293603362912,1.163160321067281,201.9194040504437,174.4740481600921,5.365368399073373
172,20.88655509012921,20.716246230088927,1.3496389848219374,1.1661929092150722,202.4458477232906,174.92893638226082,5.376839596402874
471,20.89050226477481,20.7200650838063,1.3542952501247043,1.1702162840883368,203.14428751870565,175.5324426132505,5.392047347241832
380,20.89186403261449,20.72138163569033,1.3559055729623266,1.1716077280936608,203.385835944349,175.74115921404913,5.397307301347212
111,20.89343028247983,20.72289588000644,1.3577601925769678,1.1732102634888364,203.66402888654517,175.98153952332544,5.4033669395666175
502,20.893862253278293,20.723313507704777,1.3582721650957148,1.1736526475098894,203.74082476435723,176.0478971264834,5.405040041076094
510,20.896869305741344,20.726220714403496,1.3618417624471868,1.1767370568718412,204.276264367078,176.51055853077617,5.416709188234989
